batch_size,phase,category,kernel_name,launches,residency_ms
1,useful,norm_rope_quant,_quantize_k_cache_fast_kernel,624,0.745344
1,useful,moe_routing,"void count_and_sort_expert_tokens_kernel<int>(const T1 *, int *, int *, unsigned long)",600,0.727296
1,useful,other,triton_poi_fused_add_sigmoid_unsqueeze_0,600,0.70925
1,useful,attention_mla,set_mla_kv_buffer_kernel,624,0.708769
1,useful,attention_indexer,"void deep_gemm::sm90_fp8_paged_mqa_logits<(unsigned int)1, (unsigned int)32, (unsigned int)128, (unsigned int)64, (bool)1, (bool)0, (unsigned int)3, (unsigned int)3, (unsigned int)256, (unsigned int)128, (unsigned int)512, float>(unsigned int, unsigned int, unsigned int, const unsigned int *, T12 *, const unsigned int *, const unsigned int *, const unsigned int *, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)",168,0.616991
1,useful,memory_elementwise,triton_poi_fused__to_copy_arange_bitwise_not_eq_expand_masked_fill_scalar_tensor_unsqueeze_view_where_2,600,0.564255
1,useful,other,triton_poi_fused_sum_1,600,0.557567
1,useful,memory_elementwise,"void at::native::vectorized_elementwise_kernel<(int)8, at::native::FillFunctor<c10::BFloat16>, std::array<char *, (unsigned long)1>>(int, T2, T3)",624,0.557537
1,useful,attention_projection,nvjet_sm90_tst_192x8_64x8_4x1_v_bz_TNT,8,0.53456
1,useful,other,"void <unnamed>::fast_hadamard_transform_kernel<<unnamed>::FastHadamardKernelTraits<(int)16, (int)7, __nv_bfloat16>>(HadamardParamsBase)",336,0.443454
1,useful,memory_elementwise,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, float, float, float, (bool)0, float, float, float, (bool)1, (bool)0, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T10 *, T9 *, T5 *, const T6 *, const T6 *, const T11 *, const T4 *, T11 *, void *, long, T6 *, int *, T6 *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *, const T6 *)",168,0.297632
1,useful,norm_rope_quant,_act_quant_kernel,168,0.28656
1,useful,attention_mla,kernel_cutlass_kernel_flashinfernormkernelslayernormLayerNormKernel_object_at__tensorptrbf16gmemalign16o128div41_tensorptrbf16gmemalign16o128div41_tensorptrf32gmemalign16o1281_tensorptrf3_0,168,0.232799
1,useful,attention_indexer,"void <unnamed>::fused_store_indexer_cache<__nv_bfloat16, long, (unsigned int)6, (bool)1>(<unnamed>::FusedStoreCacheParam)",168,0.209088
1,useful,other,triton_poi_fused_mul_unsqueeze_0,168,0.163552
1,useful,other,triton_poi_fused_mul_0,168,0.159743
