family_id,family_title,category,batch,evidence_kind,time_basis,kernel_active_union_us,eager_operator_interval_us,kernel_summed_residency_us,non_kernel_interval_us,p10_us,p90_us,modeled_flop,useful_bytes_min
mla_absorbed_q_concat,MLA Absorbed Q Concat,Attention,1,exact,kernel_active_union,1.7599999999999998,48.239998519420624,1.7599999999999998,46.33599851942063,1.6,1.92,,18432.0
mla_absorbed_q_concat,MLA Absorbed Q Concat,Attention,10,exact,kernel_active_union,2.4,49.60000142455101,2.4,47.18400093722343,2.272,2.464,,184320.0
mla_absorbed_q_concat,MLA Absorbed Q Concat,Attention,20,exact,kernel_active_union,2.352,48.25600050389767,2.352,45.952000869393345,2.2687999999999997,2.464,,368640.0
mla_absorbed_q_concat,MLA Absorbed Q Concat,Attention,100,exact,kernel_active_union,2.352,51.471998915076256,2.352,49.05599891507626,2.304,2.464,,1843200.0
mla_absorbed_q_concat,MLA Absorbed Q Concat,Attention,200,exact,kernel_active_union,2.4,40.672000497579575,2.4,38.24000049757957,2.336,2.496,,3686400.0
mla_absorbed_q_concat,MLA Absorbed Q Concat,Attention,500,exact,kernel_active_union,2.496,43.40800084173679,2.496,40.944000841736795,2.4,2.56,,9216000.0
trtllm_mla_rope_quantize_fp8,TRT-LLM MLA Rope Quantize FP8,Kv Cache,1,exact,kernel_active_union,1.856,105.47199845314026,1.856,103.45599845314027,1.8208,2.208,,15552.0
trtllm_mla_rope_quantize_fp8,TRT-LLM MLA Rope Quantize FP8,Kv Cache,10,exact,kernel_active_union,2.0,105.43999820947647,2.0,103.63199820947648,1.792,2.176,,155520.0
trtllm_mla_rope_quantize_fp8,TRT-LLM MLA Rope Quantize FP8,Kv Cache,20,exact,kernel_active_union,2.144,108.75200107693672,2.144,106.89600083327294,1.792,2.176,,311040.0
trtllm_mla_rope_quantize_fp8,TRT-LLM MLA Rope Quantize FP8,Kv Cache,100,exact,kernel_active_union,2.064,108.67200046777725,2.064,106.5279994931221,1.952,2.368,,1555200.0
trtllm_mla_rope_quantize_fp8,TRT-LLM MLA Rope Quantize FP8,Kv Cache,200,exact,kernel_active_union,2.304,107.32799768447876,2.304,105.05599768447877,2.176,2.336,,3110400.0
trtllm_mla_rope_quantize_fp8,TRT-LLM MLA Rope Quantize FP8,Kv Cache,500,exact,kernel_active_union,3.088,109.48799923062325,3.088,106.41599923062324,3.04,3.168,,7776000.0
trtllm_raw_fp8_kv_store,TRT-LLM Raw FP8 KV Store,Kv Cache,1,exact,kernel_active_union,1.728,44.03200000524521,1.728,42.41600097990036,1.376,1.76,,1152.0
trtllm_raw_fp8_kv_store,TRT-LLM Raw FP8 KV Store,Kv Cache,10,exact,kernel_active_union,1.76,43.87199878692627,1.76,42.11199878692627,1.4047999999999998,1.7632,,11520.0
trtllm_raw_fp8_kv_store,TRT-LLM Raw FP8 KV Store,Kv Cache,20,exact,kernel_active_union,1.76,44.03200000524521,1.76,42.47999984824658,1.376,1.792,,23040.0
trtllm_raw_fp8_kv_store,TRT-LLM Raw FP8 KV Store,Kv Cache,100,exact,kernel_active_union,1.616,43.695999309420586,1.616,42.09599930942059,1.408,1.792,,115200.0
trtllm_raw_fp8_kv_store,TRT-LLM Raw FP8 KV Store,Kv Cache,200,exact,kernel_active_union,1.504,44.22399960458279,1.504,42.62400049257278,1.44,1.824,,230400.0
trtllm_raw_fp8_kv_store,TRT-LLM Raw FP8 KV Store,Kv Cache,500,exact,kernel_active_union,1.664,44.11200061440468,1.664,42.44800110173226,1.632,1.824,,576000.0
sparse_mla_trtllm_decode,Sparse MLA TRT-LLM Decode,Attention,1,exact,kernel_active_union,9.248,192.73599982261658,9.248,183.61600440073013,8.928,9.568,35651584.0,1192448.0
sparse_mla_trtllm_decode,Sparse MLA TRT-LLM Decode,Attention,10,exact,kernel_active_union,10.96,188.81600350141525,10.96,177.92000350141524,10.684800000000001,11.206399999999999,356515840.0,11924480.0
sparse_mla_trtllm_decode,Sparse MLA TRT-LLM Decode,Attention,20,exact,kernel_active_union,13.504,179.99999970197678,13.504,166.4960008687973,13.1808,13.808,713031680.0,23848960.0
sparse_mla_trtllm_decode,Sparse MLA TRT-LLM Decode,Attention,100,exact,kernel_active_union,30.64,181.15199357271194,30.64,150.65599357271194,30.336,31.2096,3565158400.0,119244800.0
sparse_mla_trtllm_decode,Sparse MLA TRT-LLM Decode,Attention,200,exact,kernel_active_union,60.176,207.2799950838089,60.176,147.3439950838089,59.216,60.614399999999996,7130316800.0,238489600.0
sparse_mla_trtllm_decode,Sparse MLA TRT-LLM Decode,Attention,500,exact,kernel_active_union,114.896,206.7679986357689,114.896,91.69599863576889,114.384,115.7312,17825792000.0,596224000.0
mla_value_restore_bmm,MLA Value Restore BMM,Attention,1,exact,kernel_active_union,3.312,58.06400068104267,3.312,54.81600068104267,3.104,3.392,2097152.0,2109440.0
mla_value_restore_bmm,MLA Value Restore BMM,Attention,10,exact,kernel_active_union,2.752,58.49600024521351,2.752,55.840000123381614,2.6208,2.784,20971520.0,2220032.0
mla_value_restore_bmm,MLA Value Restore BMM,Attention,20,exact,kernel_active_union,2.752,56.223999708890915,2.752,53.503999830722805,2.624,2.784,41943040.0,2342912.0
mla_value_restore_bmm,MLA Value Restore BMM,Attention,100,exact,kernel_active_union,2.864,58.89599956572056,2.864,56.079999565720556,2.784,2.912,209715200.0,3325952.0
mla_value_restore_bmm,MLA Value Restore BMM,Attention,200,exact,kernel_active_union,3.008,57.583998888731,3.008,54.511998888731,3.0048,3.2032000000000003,419430400.0,4554752.0
mla_value_restore_bmm,MLA Value Restore BMM,Attention,500,exact,kernel_active_union,3.808,57.58400075137615,3.808,54.20800075137615,3.36,3.936,1048576000.0,8241152.0
attention_output_projection,Attention Output Projection,Attention,1,exact,kernel_active_union,7.68,247.9039952158928,7.68,240.5279952158928,6.976,7.776,25165824.0,12602368.0
attention_output_projection,Attention Output Projection,Attention,10,exact,kernel_active_union,7.4559999999999995,246.0319995880127,7.4559999999999995,238.8799995880127,7.0688,7.936,251658240.0,12749824.0
attention_output_projection,Attention Output Projection,Attention,20,exact,kernel_active_union,7.792,253.79198789596558,7.792,245.69598789596557,7.7088,8.512,503316480.0,12913664.0
attention_output_projection,Attention Output Projection,Attention,100,exact,kernel_active_union,8.32,251.68000161647797,8.32,243.04000161647798,7.808,8.672,2516582400.0,14224384.0
attention_output_projection,Attention Output Projection,Attention,200,exact,kernel_active_union,8.96,252.22399830818176,8.96,243.59999830818177,8.256,9.056,5033164800.0,15862784.0
attention_output_projection,Attention Output Projection,Attention,500,exact,kernel_active_union,11.216,253.29600274562836,11.216,242.08000274562835,10.944,11.584,12582912000.0,20777984.0
dense_gate_up_projection,Dense Gate Up Projection,Dense Mlp,1,exact,kernel_active_union,10.144,219.42400187253952,10.144,209.2000026035309,9.7888,10.56,37748736.0,18897408.0
dense_gate_up_projection,Dense Gate Up Projection,Dense Mlp,10,exact,kernel_active_union,10.176,222.6880043745041,10.176,212.3680043745041,9.888,10.5632,377487360.0,19063296.0
dense_gate_up_projection,Dense Gate Up Projection,Dense Mlp,20,exact,kernel_active_union,10.4,222.86400198936462,10.4,211.9680019893646,10.048,10.8512,754974720.0,19247616.0
dense_gate_up_projection,Dense Gate Up Projection,Dense Mlp,100,exact,kernel_active_union,10.992,218.72000396251678,10.992,207.5520048856735,10.684800000000001,11.3056,3774873600.0,20722176.0
dense_gate_up_projection,Dense Gate Up Projection,Dense Mlp,200,exact,kernel_active_union,11.76,224.63999688625336,11.76,212.79999664258958,11.3568,11.9392,7549747200.0,22565376.0
dense_gate_up_projection,Dense Gate Up Projection,Dense Mlp,500,exact,kernel_active_union,13.872,226.33599489927292,13.872,212.4159948992729,13.7216,13.984,18874368000.0,28094976.0
dense_silu_and_mul,Dense SiLU And Mul,Dense Mlp,1,exact,kernel_active_union,2.624,49.40799996256828,2.624,46.95999996256828,2.2687999999999997,2.656,,9216.0
dense_silu_and_mul,Dense SiLU And Mul,Dense Mlp,10,exact,kernel_active_union,2.4,51.872000098228455,2.4,49.24799872291088,2.336,2.72,,92160.0
dense_silu_and_mul,Dense SiLU And Mul,Dense Mlp,20,exact,kernel_active_union,2.656,50.255998969078064,2.656,47.72799896907806,2.368,2.72,,184320.0
dense_silu_and_mul,Dense SiLU And Mul,Dense Mlp,100,exact,kernel_active_union,2.56,52.06400156021118,2.56,49.48800067222118,2.368,2.752,,921600.0
dense_silu_and_mul,Dense SiLU And Mul,Dense Mlp,200,exact,kernel_active_union,2.448,51.48799903690815,2.448,48.78399903690815,2.4,2.72,,1843200.0
dense_silu_and_mul,Dense SiLU And Mul,Dense Mlp,500,exact,kernel_active_union,2.896,52.60800011456013,2.896,49.856000114560125,2.752,2.944,,4608000.0
dense_down_projection,Dense Down Projection,Dense Mlp,1,exact,kernel_active_union,6.976,227.27999836206436,6.976,220.27200361967087,6.688,7.648,18874368.0,9454848.0
dense_down_projection,Dense Down Projection,Dense Mlp,10,exact,kernel_active_union,7.263999999999999,233.40799659490585,7.263999999999999,226.17599659490585,6.848,7.648,188743680.0,9593088.0
dense_down_projection,Dense Down Projection,Dense Mlp,20,exact,kernel_active_union,7.904,226.68799757957458,7.904,218.7359975795746,7.1008000000000004,7.9392,377487360.0,9746688.0
dense_down_projection,Dense Down Projection,Dense Mlp,100,exact,kernel_active_union,8.032,232.07999765872955,8.032,224.14399765872955,7.52,8.384,1887436800.0,10975488.0
dense_down_projection,Dense Down Projection,Dense Mlp,200,exact,kernel_active_union,8.064,228.7840023636818,8.064,220.44800236368178,7.9648,8.736,3774873600.0,12511488.0
dense_down_projection,Dense Down Projection,Dense Mlp,500,exact,kernel_active_union,10.496,227.87199914455414,10.496,217.29600060653686,10.1088,10.88,9437184000.0,17119488.0
router_projection,Router Projection,Moe,1,exact,kernel_active_union,5.808,85.74400097131729,5.808,79.90400097131729,5.632,5.984,3145728.0,3158528.0
router_projection,Router Projection,Moe,10,exact,kernel_active_union,6.368,83.18400010466576,6.368,76.60800010466576,6.304,6.848,31457280.0,3273728.0
router_projection,Router Projection,Moe,20,exact,kernel_active_union,6.6240000000000006,83.76000076532364,6.6240000000000006,77.07200039982796,6.464,6.816,62914560.0,3401728.0
router_projection,Router Projection,Moe,100,exact,kernel_active_union,7.776,84.927998483181,7.936,77.263998483181,7.6415999999999995,8.0,314572800.0,4425728.0
router_projection,Router Projection,Moe,200,exact,kernel_active_union,8.96,78.0319981276989,8.96,69.07199812769889,8.928,9.024,629145600.0,5705728.0
router_projection,Router Projection,Moe,500,exact,kernel_active_union,8.256,85.29600128531456,8.352,76.88000128531456,8.0608,8.416,1572864000.0,9545728.0
routed_moe_input_quant,Routed MoE Input Quant,Moe,1,exact,kernel_active_union,1.584,92.38399937748909,1.584,90.62400047397614,1.536,1.92,,18624.0
routed_moe_input_quant,Routed MoE Input Quant,Moe,10,exact,kernel_active_union,1.568,93.10400113463402,1.568,91.37600113463401,1.536,1.92,,186240.0
routed_moe_input_quant,Routed MoE Input Quant,Moe,20,exact,kernel_active_union,1.92,93.20000186562538,1.92,91.45600186562538,1.5648,1.952,,372480.0
routed_moe_input_quant,Routed MoE Input Quant,Moe,100,exact,kernel_active_union,1.984,91.69599786400795,1.984,89.82399786400795,1.728,2.016,,1862400.0
routed_moe_input_quant,Routed MoE Input Quant,Moe,200,exact,kernel_active_union,2.144,92.6239974796772,2.144,90.4799974796772,2.112,2.1472,,3724800.0
routed_moe_input_quant,Routed MoE Input Quant,Moe,500,exact,kernel_active_union,3.168,92.94399991631508,3.168,89.85599991631508,3.072,3.2,,9312000.0
routed_moe_fused_core,Routed MoE Fused Core,Moe,1,exact,kernel_active_union,28.368000000000002,343.1520015001297,37.712,314.99200150012973,27.9648,28.8032,75497472.0,37776384.0
routed_moe_fused_core,Routed MoE Fused Core,Moe,10,exact,kernel_active_union,86.304,354.43200170993805,100.78399999999999,268.3680017099381,85.9392,86.7648,754974720.0,377763840.0
routed_moe_fused_core,Routed MoE Fused Core,Moe,20,exact,kernel_active_union,138.288,379.7120004892349,154.03199999999998,240.59199751377105,137.536,139.1168,1509949440.0,755527680.0
routed_moe_fused_core,Routed MoE Fused Core,Moe,100,exact,kernel_active_union,203.96800000000002,385.8560025691986,218.59199999999998,181.4079987220764,202.9984,204.96640000000002,7549747200.0,1210097664.0
routed_moe_fused_core,Routed MoE Fused Core,Moe,200,exact,kernel_active_union,208.56,385.98400354385376,215.952,178.1920035438538,207.7312,209.15519999999998,15099494400.0,1211940864.0
routed_moe_fused_core,Routed MoE Fused Core,Moe,500,exact,kernel_active_union,274.22400000000005,397.2640037536621,284.17600000000004,123.47200375366211,273.6,275.12,37748736000.0,1217470464.0
shared_expert_gate_up_projection,Shared Expert Gate Up Projection,Moe,1,exact,kernel_active_union,10.256,247.42399901151657,10.256,237.32799901151657,9.888,10.592,6291456.0,3159808.0
