rank,category,count,total_ms,avg_us,min_us,max_us,devices,short_name,full_name
48,moe_routing,13875,26.291467,1.894881,1.216,2.816,0;1;2;3,routingInitExpertCounts,"void moe::dev::routing::routingInitExpertCounts<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, (int)256, (int)8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::NoOpPostprocess>>>(T1)"
49,quant_rope_norm,185,22.684131,122.616924,38.336,139.65,0,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128oi64614461441_tensorptrbf16gmemalign16o61441_tensorptrbf16gmemalign128oi64614461441___T_0,kernel_cutlass_kernel_flashinfernormkernelsrmsnormRMSNormKernel_object_at__tensorptrbf16gmemalign128oi64614461441_tensorptrbf16gmemalign16o61441_tensorptrbf16gmemalign128oi64614461441___T_0
50,other_kernel,3885,13.061208,3.361958,2.112,4.416,0;1;2;3,triton_poi_fused_mul_unsqueeze_0,triton_poi_fused_mul_unsqueeze_0
51,elementwise_misc,6989,12.985227,1.857952,1.248,2.496,0;1;2;3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)2, void at::native::compare_scalar_kernel<int>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>>(int, T2, T3)"
52,tensor_core_gemm,78,12.108689,155.239603,147.201,163.169,0;1;2;3,nvjet_sm103_tst_256x224_64x4_2x1_2cta_v_bz_TNT,nvjet_sm103_tst_256x224_64x4_2x1_2cta_v_bz_TNT
53,quant_rope_norm,6304,11.619363,1.843173,1.088,2.4,0;1;2;3,unrolled_elementwise_kernel,"void at::native::unrolled_elementwise_kernel<void at::native::compare_scalar_kernel<int>(at::TensorIteratorBase &, at::native::<unnamed>::OpType, T1)::[lambda(int) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, T1, T2, T4, T5, T6, T7)"
54,elementwise_misc,3132,11.408764,3.642645,1.472,27.905,0;1;2;3,CatArrayBatchedCopy_vectorized,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)8>, unsigned int, (int)1, (int)128, (int)1, (int)16, (int)2>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
55,elementwise_misc,7004,10.124767,1.445569,0.832,1.984,0;1;2;3,elementwise_kernel_with_index,"void <unnamed>::elementwise_kernel_with_index<int, at::native::arange_cuda_out(const c10::Scalar &, const c10::Scalar &, const c10::Scalar &, at::Tensor &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(long) (instance 1)]>(T1, T2, function_traits<T2>::result_type *)"
56,elementwise_misc,3140,8.311107,2.646849,1.6,10.016,0;1;2;3,vectorized_elementwise_kernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::BUnaryFunctor<int, int, int, at::native::binary_internal::div_floor_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 1)]::operator ()() const::[lambda() (instance 3)]::operator ()() const::[lambda(int, int) (instance 1)]>, std::array<char *, (unsigned long)2>>(int, T2, T3)"
57,other_kernel,2400,8.146543,3.394393,2.112,14.912,0;1;2;3,DeviceSelectSweepKernel,"void at_cuda_detail::cub::detail::select::DeviceSelectSweepKernel<at_cuda_detail::cub::detail::select::policy_hub<int, at_cuda_detail::cub::NullType, int, (bool)0, (at_cuda_detail::cub::SelectImpl)0>::Policy1000, const int *, at_cuda_detail::cub::NullType *, int *, long *, at_cuda_detail::cub::ScanTileState<int, (bool)1>, at_cuda_detail::cub::NullType, cuda::std::__4::equal_to<void>, int, at_cuda_detail::cub::detail::select::streaming_context_t<long, (bool)1>, (at_cuda_detail::cub::SelectImpl)0>(T2, T3, T4, T5, T6, T7, T8, T9, int, T10, at_cuda_detail::cub::detail::vsmem_t)"
58,elementwise_misc,740,7.85601,10.61623,3.616,12.832,0;1;2;3,multi_tensor_apply_kernel,"void at::native::<unnamed>::multi_tensor_apply_kernel<at::native::<unnamed>::TensorListMetadata<(int)2>, at::native::<unnamed>::UnaryOpFunctor<long, (int)2, (int)1, (int)1>, at::native::Copy<long, long>>(T1, T2, T3...)"
59,other_kernel,740,7.473587,10.099442,4.096,33.152,0;1;2;3,alloc_extend_kernel,alloc_extend_kernel
60,elementwise_misc,744,5.581441,7.501937,4.352,8.736,0;1;2;3,index_elementwise_kernel,"void at::native::index_elementwise_kernel<(int)128, (int)4, void at::native::gpu_index_kernel<void at::native::index_kernel_impl<at::native::OpaqueType<(int)4>>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>)::[lambda(char *, const char *, long) (instance 1)]>(at::TensorIteratorBase &, c10::ArrayRef<long>, c10::ArrayRef<long>, const T1 &, bool)::[lambda(int) (instance 1)]>(long, T3)"
