elapsed_seconds,sampled_at_utc,dp_rank,running_requests,scrape_group
107.184461248,2026-08-24T07:40:26.199Z,6,7,decode-pod-2
107.184461248,2026-08-24T07:40:26.199Z,7,7,decode-pod-2
108.124461248,2026-08-24T07:40:27.139Z,0,3,decode-pod-1
108.124461248,2026-08-24T07:40:27.139Z,1,9,decode-pod-1
108.124461248,2026-08-24T07:40:27.139Z,2,10,decode-pod-1
108.124461248,2026-08-24T07:40:27.139Z,3,11,decode-pod-1
112.184461248,2026-08-24T07:40:31.199Z,4,6,decode-pod-2
112.184461248,2026-08-24T07:40:31.199Z,5,4,decode-pod-2
112.184461248,2026-08-24T07:40:31.199Z,6,7,decode-pod-2
112.184461248,2026-08-24T07:40:31.199Z,7,5,decode-pod-2
113.124461248,2026-08-24T07:40:32.139Z,0,2,decode-pod-1
113.124461248,2026-08-24T07:40:32.139Z,1,4,decode-pod-1
113.124461248,2026-08-24T07:40:32.139Z,2,10,decode-pod-1
113.124461248,2026-08-24T07:40:32.139Z,3,10,decode-pod-1
117.184461248,2026-08-24T07:40:36.199Z,4,8,decode-pod-2
117.184461248,2026-08-24T07:40:36.199Z,5,7,decode-pod-2
117.184461248,2026-08-24T07:40:36.199Z,6,7,decode-pod-2
117.184461248,2026-08-24T07:40:36.199Z,7,6,decode-pod-2
118.124461248,2026-08-24T07:40:37.139Z,0,3,decode-pod-1
118.124461248,2026-08-24T07:40:37.139Z,1,6,decode-pod-1
118.124461248,2026-08-24T07:40:37.139Z,2,9,decode-pod-1
118.124461248,2026-08-24T07:40:37.139Z,3,12,decode-pod-1
122.184461248,2026-08-24T07:40:41.199Z,4,11,decode-pod-2
122.184461248,2026-08-24T07:40:41.199Z,5,7,decode-pod-2
122.184461248,2026-08-24T07:40:41.199Z,6,7,decode-pod-2
122.184461248,2026-08-24T07:40:41.199Z,7,6,decode-pod-2
123.124461248,2026-08-24T07:40:42.139Z,0,3,decode-pod-1
123.124461248,2026-08-24T07:40:42.139Z,1,11,decode-pod-1
123.124461248,2026-08-24T07:40:42.139Z,2,8,decode-pod-1
123.124461248,2026-08-24T07:40:42.139Z,3,10,decode-pod-1
127.184461248,2026-08-24T07:40:46.199Z,4,12,decode-pod-2
127.184461248,2026-08-24T07:40:46.199Z,5,5,decode-pod-2
127.184461248,2026-08-24T07:40:46.199Z,6,4,decode-pod-2
127.184461248,2026-08-24T07:40:46.199Z,7,7,decode-pod-2
128.124461248,2026-08-24T07:40:47.139Z,0,6,decode-pod-1
128.124461248,2026-08-24T07:40:47.139Z,1,12,decode-pod-1
128.124461248,2026-08-24T07:40:47.139Z,2,10,decode-pod-1
128.124461248,2026-08-24T07:40:47.139Z,3,8,decode-pod-1
132.184461248,2026-08-24T07:40:51.199Z,4,12,decode-pod-2
132.184461248,2026-08-24T07:40:51.199Z,5,4,decode-pod-2
132.184461248,2026-08-24T07:40:51.199Z,6,12,decode-pod-2
132.184461248,2026-08-24T07:40:51.199Z,7,9,decode-pod-2
133.124461248,2026-08-24T07:40:52.139Z,0,6,decode-pod-1
133.124461248,2026-08-24T07:40:52.139Z,1,6,decode-pod-1
133.124461248,2026-08-24T07:40:52.139Z,2,11,decode-pod-1
133.124461248,2026-08-24T07:40:52.139Z,3,11,decode-pod-1
137.184461248,2026-08-24T07:40:56.199Z,4,11,decode-pod-2
137.184461248,2026-08-24T07:40:56.199Z,5,4,decode-pod-2
137.184461248,2026-08-24T07:40:56.199Z,6,14,decode-pod-2
137.184461248,2026-08-24T07:40:56.199Z,7,9,decode-pod-2
138.124461248,2026-08-24T07:40:57.139Z,0,5,decode-pod-1
138.124461248,2026-08-24T07:40:57.139Z,1,8,decode-pod-1
138.124461248,2026-08-24T07:40:57.139Z,2,10,decode-pod-1
138.124461248,2026-08-24T07:40:57.139Z,3,12,decode-pod-1
142.184461248,2026-08-24T07:41:01.199Z,4,13,decode-pod-2
142.184461248,2026-08-24T07:41:01.199Z,5,5,decode-pod-2
142.184461248,2026-08-24T07:41:01.199Z,6,16,decode-pod-2
142.184461248,2026-08-24T07:41:01.199Z,7,9,decode-pod-2
143.124461248,2026-08-24T07:41:02.139Z,0,7,decode-pod-1
143.124461248,2026-08-24T07:41:02.139Z,1,9,decode-pod-1
143.124461248,2026-08-24T07:41:02.139Z,2,7,decode-pod-1
143.124461248,2026-08-24T07:41:02.139Z,3,8,decode-pod-1
147.184461248,2026-08-24T07:41:06.199Z,4,11,decode-pod-2
147.184461248,2026-08-24T07:41:06.199Z,5,3,decode-pod-2
147.184461248,2026-08-24T07:41:06.199Z,6,16,decode-pod-2
147.184461248,2026-08-24T07:41:06.199Z,7,7,decode-pod-2
148.124461248,2026-08-24T07:41:07.139Z,0,3,decode-pod-1
148.124461248,2026-08-24T07:41:07.139Z,1,7,decode-pod-1
148.124461248,2026-08-24T07:41:07.139Z,2,5,decode-pod-1
148.124461248,2026-08-24T07:41:07.139Z,3,8,decode-pod-1
152.184461248,2026-08-24T07:41:11.199Z,4,8,decode-pod-2
152.184461248,2026-08-24T07:41:11.199Z,5,5,decode-pod-2
152.184461248,2026-08-24T07:41:11.199Z,6,14,decode-pod-2
152.184461248,2026-08-24T07:41:11.199Z,7,6,decode-pod-2
153.124461248,2026-08-24T07:41:12.139Z,0,5,decode-pod-1
153.124461248,2026-08-24T07:41:12.139Z,1,13,decode-pod-1
153.124461248,2026-08-24T07:41:12.139Z,2,7,decode-pod-1
153.124461248,2026-08-24T07:41:12.139Z,3,9,decode-pod-1
157.184461248,2026-08-24T07:41:16.199Z,4,8,decode-pod-2
157.184461248,2026-08-24T07:41:16.199Z,5,11,decode-pod-2
157.184461248,2026-08-24T07:41:16.199Z,6,12,decode-pod-2
157.184461248,2026-08-24T07:41:16.199Z,7,3,decode-pod-2
158.124461248,2026-08-24T07:41:17.139Z,0,6,decode-pod-1
158.124461248,2026-08-24T07:41:17.139Z,1,15,decode-pod-1
158.124461248,2026-08-24T07:41:17.139Z,2,6,decode-pod-1
158.124461248,2026-08-24T07:41:17.139Z,3,8,decode-pod-1
162.184461248,2026-08-24T07:41:21.199Z,4,10,decode-pod-2
162.184461248,2026-08-24T07:41:21.199Z,5,8,decode-pod-2
162.184461248,2026-08-24T07:41:21.199Z,6,16,decode-pod-2
162.184461248,2026-08-24T07:41:21.199Z,7,9,decode-pod-2
163.124461248,2026-08-24T07:41:22.139Z,0,5,decode-pod-1
163.124461248,2026-08-24T07:41:22.139Z,1,15,decode-pod-1
163.124461248,2026-08-24T07:41:22.139Z,2,10,decode-pod-1
163.124461248,2026-08-24T07:41:22.139Z,3,8,decode-pod-1
167.184461248,2026-08-24T07:41:26.199Z,4,8,decode-pod-2
167.184461248,2026-08-24T07:41:26.199Z,5,10,decode-pod-2
167.184461248,2026-08-24T07:41:26.199Z,6,15,decode-pod-2
167.184461248,2026-08-24T07:41:26.199Z,7,14,decode-pod-2
168.124461248,2026-08-24T07:41:27.139Z,0,5,decode-pod-1
168.124461248,2026-08-24T07:41:27.139Z,1,16,decode-pod-1
168.124461248,2026-08-24T07:41:27.139Z,2,10,decode-pod-1
168.124461248,2026-08-24T07:41:27.139Z,3,8,decode-pod-1
172.184461248,2026-08-24T07:41:31.199Z,4,9,decode-pod-2
172.184461248,2026-08-24T07:41:31.199Z,5,11,decode-pod-2
172.184461248,2026-08-24T07:41:31.199Z,6,15,decode-pod-2
172.184461248,2026-08-24T07:41:31.199Z,7,11,decode-pod-2
173.124461248,2026-08-24T07:41:32.139Z,0,3,decode-pod-1
173.124461248,2026-08-24T07:41:32.139Z,1,16,decode-pod-1
173.124461248,2026-08-24T07:41:32.139Z,2,13,decode-pod-1
173.124461248,2026-08-24T07:41:32.139Z,3,10,decode-pod-1
177.184461248,2026-08-24T07:41:36.199Z,4,9,decode-pod-2
177.184461248,2026-08-24T07:41:36.199Z,5,12,decode-pod-2
177.184461248,2026-08-24T07:41:36.199Z,6,11,decode-pod-2
177.184461248,2026-08-24T07:41:36.199Z,7,11,decode-pod-2
178.124461248,2026-08-24T07:41:37.139Z,0,6,decode-pod-1
178.124461248,2026-08-24T07:41:37.139Z,1,15,decode-pod-1
178.124461248,2026-08-24T07:41:37.139Z,2,9,decode-pod-1
178.124461248,2026-08-24T07:41:37.139Z,3,9,decode-pod-1
182.184461248,2026-08-24T07:41:41.199Z,4,8,decode-pod-2
182.184461248,2026-08-24T07:41:41.199Z,5,11,decode-pod-2
182.184461248,2026-08-24T07:41:41.199Z,6,10,decode-pod-2
182.184461248,2026-08-24T07:41:41.199Z,7,16,decode-pod-2
183.124461248,2026-08-24T07:41:42.139Z,0,7,decode-pod-1
183.124461248,2026-08-24T07:41:42.139Z,1,15,decode-pod-1
183.124461248,2026-08-24T07:41:42.139Z,2,10,decode-pod-1
183.124461248,2026-08-24T07:41:42.139Z,3,9,decode-pod-1
187.184461248,2026-08-24T07:41:46.199Z,4,10,decode-pod-2
187.184461248,2026-08-24T07:41:46.199Z,5,11,decode-pod-2
187.184461248,2026-08-24T07:41:46.199Z,6,13,decode-pod-2
187.184461248,2026-08-24T07:41:46.199Z,7,16,decode-pod-2
188.124461248,2026-08-24T07:41:47.139Z,0,7,decode-pod-1
188.124461248,2026-08-24T07:41:47.139Z,1,14,decode-pod-1
188.124461248,2026-08-24T07:41:47.139Z,2,10,decode-pod-1
188.124461248,2026-08-24T07:41:47.139Z,3,8,decode-pod-1
192.184461248,2026-08-24T07:41:51.199Z,4,11,decode-pod-2
192.184461248,2026-08-24T07:41:51.199Z,5,16,decode-pod-2
192.184461248,2026-08-24T07:41:51.199Z,6,9,decode-pod-2
192.184461248,2026-08-24T07:41:51.199Z,7,15,decode-pod-2
