elapsed_seconds,client_in_flight,client_visible_post_ttft_streams_open
56.949766815,100,26
56.992731909,99,25
56.992832710,100,25
57.272035135,99,24
57.272217024,100,24
58.616046872,100,25
58.617255680,99,24
58.617452929,100,24
58.645412865,99,23
58.645537122,100,23
58.717285485,100,24
58.843451662,100,25
59.071265927,100,26
59.149627264,100,27
59.151429740,99,26
59.151492652,100,26
59.362610771,99,25
59.362718388,100,25
59.540101907,99,24
59.540166323,100,24
59.610847416,99,23
59.610913688,100,23
59.942942971,100,24
61.546961193,99,23
61.547163115,100,23
62.666311487,99,22
62.666577057,100,22
63.687174578,99,21
63.687411699,100,21
63.931340475,99,20
63.931512476,100,20
64.224103313,99,19
64.224227986,100,19
64.929138127,100,20
64.929221552,100,21
65.214206577,99,20
65.214521971,100,20
65.334024934,100,21
65.335877586,99,20
65.335942707,100,20
65.513706485,99,19
65.513918646,100,19
66.698266345,99,18
66.698347018,100,18
67.013377400,99,17
67.013786171,100,17
67.214991198,100,18
67.215209183,100,19
67.215387968,100,20
67.434444605,100,21
67.435654245,99,20
67.435730406,100,20
67.525047274,100,21
67.525092842,100,22
67.705691680,100,23
67.886726008,100,24
68.759447060,99,23
68.759588181,100,23
69.188357583,99,22
69.188441423,100,22
69.249547154,99,21
69.249692339,100,21
69.515303471,100,22
70.019915248,100,23
70.019964625,100,24
70.978592185,100,25
71.126913041,100,26
71.275916142,100,27
71.298718218,100,28
71.299245006,99,27
71.299319982,100,27
71.460532671,100,28
71.460997890,100,29
71.461040834,100,30
71.505351890,100,31
71.505385362,100,32
71.601084930,100,33
71.639162247,99,32
71.639230791,100,32
71.808143853,100,33
71.808374926,100,34
72.130584590,99,33
72.130687791,100,33
72.333897215,100,34
72.334406339,100,35
72.334478755,100,36
72.466533932,99,35
72.466812046,100,35
72.821203562,100,36
72.955203168,100,37
72.955778436,99,36
72.955872005,100,36
73.913866601,100,37
73.941477030,100,38
73.946988684,100,39
74.053410117,100,40
74.053887656,100,41
74.083840117,99,40
74.084038327,100,40
74.101152396,100,41
74.131410459,100,42
74.160267137,99,41
74.160513027,100,41
74.277922343,99,40
74.277979304,100,40
74.462337751,99,39
74.462407031,100,39
74.673894592,100,40
74.846567551,100,41
74.886640338,99,40
74.886761779,100,40
75.073249425,100,41
75.074396344,99,40
75.074455417,100,40
75.507966771,100,41
75.550800537,100,42
75.707216360,100,43
75.707258921,100,44
75.707295177,100,45
75.727371858,99,44
75.727519411,100,44
75.749521002,100,45
75.886158130,99,44
75.887490780,100,44
76.073248468,100,45
76.073647543,99,44
76.073700375,100,44
76.112444065,99,43
76.112571714,100,43
76.112671682,99,42
76.115386677,100,42
76.218175637,100,43
76.225494567,100,44
76.267484775,99,43
76.267708969,100,43
76.943738145,99,42
76.943830689,100,42
77.045292057,100,43
77.204682077,100,44
77.221197518,100,45
77.332928651,99,44
77.333029708,100,44
77.354989667,100,45
77.662883392,100,46
77.820809210,100,47
77.821064252,100,48
77.864318468,100,49
78.196185638,99,48
78.196265799,100,48
78.309220813,99,47
78.309319405,100,47
78.391650626,99,46
78.391712418,100,46
78.832923761,100,47
78.832945553,100,48
79.016992830,99,47
79.017107967,100,47
79.150080398,100,48
79.388980083,100,49
79.389146452,100,50
79.450236631,100,51
79.490489770,99,50
79.490626603,100,50
79.550534150,100,51
79.613595414,99,50
79.613659830,100,50
79.806497952,99,49
79.806649569,100,49
79.904835297,100,50
79.927692574,99,49
79.928085825,100,49
79.963916310,100,50
79.965044542,99,49
79.965102878,100,49
80.309379221,99,48
80.309484438,98,47
80.309523894,99,47
80.314165686,100,47
80.348608418,99,46
80.348772547,100,46
80.368211241,100,47
80.618436763,99,46
80.618605948,100,46
80.714510317,100,47
81.216737694,100,48
81.563501190,100,49
81.563606791,100,50
81.723393966,100,51
81.724010386,100,52
81.724058354,100,53
81.746951151,99,52
81.747123088,100,52
82.108994240,100,53
82.245988811,99,52
82.246134828,100,52
82.397278743,99,51
82.397573369,100,51
82.435873248,99,50
82.435936320,100,50
82.530615177,100,51
82.676942771,99,50
82.676998452,100,50
82.751565427,100,51
82.752874780,99,50
82.752925052,100,50
82.773432008,100,51
82.835422065,99,50
82.835481426,100,50
82.931538340,100,51
